ID,Title,Topic(s),Summary,Link,DOI
210926_01,Integrating Metabolic Modeling and Targeted Supplementation for the Rapid Detection of Clostridium tyrobutyricum in Dairy Products,Metabolic modelling-GEM-FBA,Integrates genome-scale metabolic modeling and flux balance analysis with targeted nutrient supplementation to accelerate culture-based detection of Clostridium tyrobutyricum.,https://doi.org/10.3390/microorganisms14091999,10.3390/microorganisms14091999
210926_02,PMPIHGLL: predicting metabolite–protein interactions using dual hypergraph convolutional networks and large language models,Deep Learning-LLMs-Systems Biology,"Presents PMPIHGLL, a deep-learning model that uses chemical and protein language-model embeddings with dual hypergraph convolutional networks to predict metabolite–protein interactions.",https://doi.org/10.1093/bib/bbag489,10.1093/bib/bbag489
210926_03,"Programming 2,3-butanediol biosynthesis in Saccharomyces cerevisiae with AI-optimized dual-optogenetic switches",Metabolic Engineering-ML-Saccharomyces cerevisiae,"Engineers Saccharomyces cerevisiae for 2,3-butanediol biosynthesis using AI-optimized dual-optogenetic switches to balance growth and product synthesis.",https://doi.org/10.1016/j.biortech.2026.135765,10.1016/j.biortech.2026.135765
210926_04,Metabolic reprogramming of the acetogen Clostridium sp. AWRP via adaptive laboratory evolution for improved formate-based growth,Metabolic Engineering-ALE-Acetogens,"Uses adaptive laboratory evolution of the acetogen Clostridium sp. AWRP to improve formate-based growth, then maps genomic and transcriptomic rewiring in the adapted strain F30T.",https://doi.org/10.1186/s13068-026-02817-8,10.1186/s13068-026-02817-8
210926_05,H2 + CO2-based co-cultivation of D-lactate-producing Acetobacterium woodii and chain-elongating Clostridium drakei,Microbial Communities-Metabolic Engineering-Carbon fixation,Co-cultivates D-lactate-producing Acetobacterium woodii with chain-elongating Clostridium drakei on H2 + CO2 to couple autotrophic carbon fixation with chain elongation.,https://doi.org/10.1016/j.bej.2026.110406,10.1016/j.bej.2026.110406
210926_06,Engineering the Stability of Sucrose Synthase to Enable Efficient Coupled Production of UDP-Glucuronic Acid,Enzyme engineering-Protein design-Biocatalysis,Engineers sucrose synthase thermostability with structure-guided design to stabilize UDP-glucose supply for coupled biocatalytic production of UDP-glucuronic acid.,https://doi.org/10.1002/biot.70306,10.1002/biot.70306
210926_07,Research progress on metabolic engineering for efficient squalene synthesis in yeast cell factories,Review-Metabolic Engineering-Saccharomyces cerevisiae,"Reviews metabolic engineering strategies for efficient squalene synthesis in yeast cell factories, from native MVA-pathway reinforcement to designed pathway integration.",https://doi.org/10.1007/s10529-026-03785-7,10.1007/s10529-026-03785-7
210926_08,Recent advances and challenges for engineered microbial production of L-histidine and its functional derivatives,Review-Metabolic Engineering-Amino acids,Reviews recent advances and remaining challenges in engineered microbial production of L-histidine and its functional derivatives.,https://doi.org/10.1016/j.fbio.2026.109952,10.1016/j.fbio.2026.109952
210926_09,Advances in the Biosynthesis of Noncanonical Amino Acids for Genetic Code Expansion,Review-Metabolic Engineering-Protein design,Reviews metabolic engineering and pathway-design strategies for autonomous microbial biosynthesis of noncanonical amino acids to support genetic code expansion.,https://doi.org/10.1002/anie.1857480,10.1002/anie.1857480
210926_10,Design and construction of microbial carbon fixation pathways empowered by synthetic biology,Review-Synthetic Biology-Carbon fixation,"Reviews natural and synthetic microbial carbon-fixation pathways and energy-supply strategies, including modification of natural routes and design of synthetic pathways.",https://doi.org/10.13343/j.cnki.wsxb.20260309,10.13343/j.cnki.wsxb.20260309
